"Date of Airing (EST)","Topic List","Fact Check","TV Clip",Organization,Collection
2017-10-19,History,http://www.factcheck.org/2017/10/video-backs-wilson-not-kelly/,https://archive.org/details/CSPAN_20171019_210400_White_House_Briefing_with_John_Kelly/start/750/end/866.5,FactCheck.org,john_kelly_archive
2017-10-18,"Health Care",http://www.politifact.com/truth-o-meter/statements/2017/oct/23/donald-trump/trump-says-insurers-made-fortune-obamacare-they-di/,https://archive.org/details/CNNW_20171018_170000_Wolf/start/2604.5/end/2614.5,PolitiFact,trumparchive
2017-10-18,"Health Care",http://www.factcheck.org/2017/10/trump-misleads-insurer-profits/,https://archive.org/details/CNNW_20171018_170000_Wolf/start/2604.5/end/2614.5,FactCheck.org,trumparchive
2017-10-18,"Taxes,Income",http://www.factcheck.org/2017/10/trumps-dubious-4000-claim/,https://archive.org/details/CSPAN_20171018_035400_President_Trump_Keynote_Address_to_Heritage_Foundation/start/1316/end/1331,FactCheck.org,trumparchive
2017-10-17,"Climate Change,Environment",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/23/epa-administrator-scott-pruitts-claim-the-u-s-is-leading-the-world-in-c02-footprint-reductions,https://archive.org/details/FOXNEWSW_20171017_200000_Your_World_With_Neil_Cavuto/start/2425/end/2436.5,"Washington Post",scott_pruitt_archive
2017-10-17,"Climate Change,Environment",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/23/epa-administrator-scott-pruitts-claim-the-u-s-is-leading-the-world-in-c02-footprint-reductions,https://archive.org/details/FOXNEWSW_20171017_200000_Your_World_With_Neil_Cavuto/start/2302/end/2312,"Washington Post",scott_pruitt_archive
2017-10-16,"Fake News,Women",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/27/trump-says-sex-harassment-claims-are-fake-news-but-there-are-collaborators/,https://archive.org/details/CSPAN_20171016_174600_Pres._Trump_and_Sen._McConnell_in_White_House_Rose_Garden/start/1997/end/2008,"Washington Post",trumparchive
2017-10-16,"Military,History",http://www.politifact.com/truth-o-meter/article/2017/oct/17/donald-trump-obamas-calls-fallen-soldiers-families/,https://archive.org/details/CSPAN_20171016_174600_Pres._Trump_and_Sen._McConnell_in_White_House_Rose_Garden/start/1812/end/1849,PolitiFact,trumparchive
2017-10-16,Congress,http://www.factcheck.org/2017/10/whos-blame-slow-confirmations/,https://archive.org/details/CSPAN_20171016_174600_Pres._Trump_and_Sen._McConnell_in_White_House_Rose_Garden/start/1485/end/1576,FactCheck.org,trumparchive
2017-10-16,Military,http://www.politifact.com/truth-o-meter/article/2017/oct/17/donald-trump-obamas-calls-fallen-soldiers-families/,https://archive.org/details/CSPAN_20171016_174600_Pres._Trump_and_Sen._McConnell_in_White_House_Rose_Garden/start/1291.2/end/1304.5,PolitiFact,trumparchive
2017-10-15,"Foreign Policy",http://www.politifact.com/truth-o-meter/statements/2017/oct/15/rex-tillerson/tillerson-says-trumps-rhetoric-has-led-increase-de/,https://archive.org/details/CNNW_20171015_160000_State_of_the_Union_With_Jake_Tapper/start/1350/end/1370,PolitiFact,rex_tillerson_archive
2017-10-15,"Congress,Foreign Policy,Iran",http://www.politifact.com/truth-o-meter/statements/2017/oct/19/nikki-haley/haley-wrongly-says-congress-had-no-input-iran-nucl/,https://archive.org/details/WJLA_20171015_130000_This_Week_With_George_Stephanopoulos/start/1501/end/1519.5,PolitiFact,nikki_haley_archive
2017-10-14,Terrorism,https://www.washingtonpost.com/news/fact-checker/wp/2017/10/25/trumps-claim-that-hes-done-by-far-more-than-obama-in-the-fight-against-isis/,https://archive.org/details/CSPAN_20171014_091300_Values_Voter_Summit_President_Trump/start/1490/end/1502,"Washington Post",trumparchive
2017-10-13,"Nuclear,Iran",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/14/fact-checking-president-trumps-speech-on-the-iran-deal/,https://archive.org/details/CSPAN_20171013_165200_President_Trump_on_Iran_Nuclear_Agreement/start/1068/end/1078,"Washington Post",trumparchive
2017-10-13,"Nuclear,Iran",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/14/fact-checking-president-trumps-speech-on-the-iran-deal/,https://archive.org/details/CSPAN_20171013_165200_President_Trump_on_Iran_Nuclear_Agreement/start/684/end/704,"Washington Post",trumparchive
2017-10-13,"Nuclear,Iran",http://www.factcheck.org/2017/10/trump-irans-multiple-violations/,https://archive.org/details/CSPAN_20171013_165200_President_Trump_on_Iran_Nuclear_Agreement/start/626.5/end/683,FactCheck.org,trumparchive
2017-10-13,"Nuclear,Iran",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/14/fact-checking-president-trumps-speech-on-the-iran-deal/,https://archive.org/details/CSPAN_20171013_165200_President_Trump_on_Iran_Nuclear_Agreement/start/626.5/end/683,"Washington Post",trumparchive
2017-10-13,"Nuclear,Iran",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/14/fact-checking-president-trumps-speech-on-the-iran-deal/,https://archive.org/details/CSPAN_20171013_165200_President_Trump_on_Iran_Nuclear_Agreement/start/546.5/end/566,"Washington Post",trumparchive
2017-10-13,"Nuclear,Iran",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/14/fact-checking-president-trumps-speech-on-the-iran-deal/,https://archive.org/details/CSPAN_20171013_165200_President_Trump_on_Iran_Nuclear_Agreement/start/501/end/530.7,"Washington Post",trumparchive
2017-10-13,"Nuclear,Iran",https://www.washingtonpost.com/news/fact-checker/wp/2017/10/14/fact-checking-president-trumps-speech-on-the-iran-deal/,https://archive.org/details/CSPAN_20171013_165200_President_Trump_on_Iran_Nuclear_Agreement/start/426.5/end/445,"Washington Post",trumparchive
2017-10-13,Terrorism,https://www.washingtonpost.com/news/fact-checker/wp/2017/10/14/fact-checking-president-trumps-speech-on-the-iran-deal/,https://archive.org/details/CSPAN_20171013_165200_President_Trump_on_Iran_Nuclear_Agreement/start/295.3/end/310.4,"Washington Post",trumparchive
2017-10-13,Terrorism,https://www.washingtonpost.com/news/fact-checker/wp/2017/10/14/fact-checking-president-trumps-speech-on-the-iran-deal/,https://archive.org/details/CSPAN_20171013_165200_President_Trump_on_Iran_Nuclear_Agreement/start/268/end/278.5,"Washington Post",trumparchive
2017-10-11,Military,https://www.washingtonpost.com/news/fact-checker/wp/2017/10/13/trumps-claim-that-u-s-interceptors-can-knock-out-icmbs-97-percent-of-the-time/,https://archive.org/details/FOXNEWSW_20171012_010000_Hannity/start/2206/end/2217,"Washington Post",trumparchive
2017-10-11,"Energy,Jobs,Economy",https://www.washingtonpost.com/news/fact-checker/wp/2017/11/01/president-trumps-claim-that-he-turned-west-virginia-around-by-cutting-regulations-on-mining/,https://archive.org/details/FOXNEWSW_20171012_010000_Hannity/start/720/end/742.5,"Washington Post",trumparchive
2017-10-11,"Debt,Deficit,Taxes",http://www.politifact.com/truth-o-meter/statements/2017/oct/12/donald-trump/donald-trumps-misleading-linkage-between-stock-gai/,https://archive.org/details/FOXNEWSW_20171012_010000_Hannity/start/118/end/149,PolitiFact,trumparchive
2017-10-11,"Debt,Deficit,Taxes",http://www.factcheck.org/2017/10/trump-muddles-economic-indicators/,https://archive.org/details/FOXNEWSW_20171012_010000_Hannity/start/118/end/149,FactCheck.org,trumparchive
2017-10-11,"Debt,Deficit,Taxes",http://www.factcheck.org/2017/10/trump-muddles-economic-indicators/,https://archive.org/details/CSPAN2_20171011_214400_President_Trump_Tax_Reform_Remarks/start/479/end/536,FactCheck.org,trumparchive
